truckid,driverid,event,latitude,longitude,city,state,velocity,event_ind,idling_ind
T54,D54,normal,38.440467,-122.714431,Santa Rosa,California,17,0,0
T20,D20,normal,36.977173,-121.899402,Aptos,California,27,0,0
T40,D40,overspeed,37.957702,-121.29078,Stockton,California,77,1,0
T31,D31,normal,39.409608,-123.355566,Willits,California,22,0,0
T71,D71,normal,33.683947,-117.794694,Irvine,California,43,0,0
T50,D50,normal,38.40765,-122.947713,Occidental,California,0,0,1
T51,D51,normal,37.639097,-120.996878,Modesto,California,0,0,1
T19,D19,normal,37.962146,-122.345526,San Pablo,California,0,0,1
T77,D77,normal,37.962146,-122.345526,San Pablo,California,25,0,0
T92,D92,normal,37.484938,-119.966284,Mariposa,California,0,0,1
T89,D89,normal,39.017396,-122.057748,Arbuckle,California,38,0,0
T86,D86,normal,32.715329,-117.157255,San Diego,California,45,0,0
T5,D5,overspeed,41.526509,-124.038407,Klamath,California,33,1,0
T54,D54,normal,35.373292,-119.018712,Bakersfield,California,19,0,0
T48,D48,overspeed,38.752124,-121.288006,Roseville,California,77,1,0
T2,D2,normal,32.61768,-116.187424,Jacumba,California,50,0,0
T98,D98,normal,33.19587,-117.379483,Oceanside,California,27,0,0
T10,D10,normal,40.761243,-123.994778,Kneeland,California,0,0,1
T12,D12,normal,37.968812,-121.668008,Knightsen,California,59,0,0
T43,D43,normal,37.968812,-121.668008,Knightsen,California,45,0,0
T65,D65,normal,37.484938,-119.966284,Mariposa,California,0,0,1
T62,D62,normal,34.106676,-117.806726,San Dimas,California,39,0,0
T94,D94,overspeed,37.941325,-122.484704,San Quentin,California,0,1,1
T68,D68,normal,38.440467,-122.714431,Santa Rosa,California,51,0,0
T49,D49,overspeed,39.150171,-123.207783,Ukiah,California,41,1,0
T72,D72,normal,37.957702,-121.29078,Stockton,California,0,0,1
T10,D10,normal,34.106676,-117.806726,San Dimas,California,46,0,0
T68,D68,normal,34.500831,-117.185876,Apple Valley,California,16,0,0
T51,D51,normal,33.846404,-118.046731,La Palma,California,15,0,0
T7,D7,normal,40.563763,-122.238892,Palo Cedro,California,40,0,0
T11,D11,normal,39.409608,-123.355566,Willits,California,31,0,0
T8,D8,normal,38.440467,-122.714431,Santa Rosa,California,25,0,0
T37,D37,normal,34.435829,-119.827639,Goleta,California,16,0,0
T9,D9,normal,38.716687,-121.364422,Antelope,California,67,0,0
T34,D34,normal,38.440467,-122.714431,Santa Rosa,California,68,0,0
T38,D38,normal,33.663357,-116.310009,La Quinta,California,72,0,0
T56,D56,normal,34.435829,-119.827639,Goleta,California,0,0,1
T27,D27,normal,38.40765,-122.947713,Occidental,California,18,0,0
T26,D26,normal,34.44805,-119.242889,Ojai,California,19,0,0
T58,D58,normal,38.716687,-121.364422,Antelope,California,39,0,0
T57,D57,normal,36.471865,-6.196595,San Fernando,California,16,0,0
